validScientificName,scientificNameAuthorship,popularName,phylum,order,family,genus,taxonRank,iucnRedListCategory,riskCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,taxonomicStatus,nomenclaturalStatus,New.accepted,Old.name,One.Reason,datasetKey
Rubus idaeus  f. succineus,Rehder,bringebær,Tracheophyta,Rosales,Rosaceae,Rubus,form,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,TRUE,Rubus idaeus f. albus,Accepted,b124e1e0-4755-430f-9eab-894f25a9b59c
Prunus padus f. glauca,(Nakai) Kitag.,hegg,Tracheophyta,Rosales,Rosaceae,Prunus,form,LC,LC,10.42202,63.445503,6,2021,Unchecked,"",FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Alchemilla monticola,Opiz,beitemarikåpe,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,LC,10.426153,63.444461,5,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Populus tremula f. rthensis,T.Bunusevac & S.Jovanovic,osp,Tracheophyta,Malpighiales,Salicaceae,Populus,form,LC,LC,10.421303,63.445625,,2020,Unchecked,"",FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Descurainia sophia,(L.) Webb ex Prantl,hundesennep,Tracheophyta,Brassicales,Brassicaceae,Descurainia,species,NE,LC,10.4235,63.4454,1414,1923,Accepted,Valid,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Erysimum virgatum,Roth,berggull,Tracheophyta,Brassicales,Brassicaceae,Erysimum,species,NE,LC,10.42185,63.445276,25,2012,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Arabidopsis thaliana,(L.) Heynh.,"",Tracheophyta,Brassicales,Brassicaceae,Arabidopsis,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Sagina nodosa,(L.) Fenzl,knopparve,Tracheophyta,Caryophyllales,Caryophyllaceae,Sagina,species,NE,LC,10.42185,63.445276,25,2012,Accepted,Valid,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Senecio dubitabilis,C.Jeffrey & Y.L.Chen,åkersvineblom,Tracheophyta,Asterales,Asteraceae,Senecio,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Senecio vulgaris var. dubius,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Lapsana communis  subsp. alpina,(Boiss. & Balansa) P.D.Sell,haremat,Tracheophyta,Asterales,Asteraceae,Lapsana,subspecies,NE,LC,10.425461,63.444108,25,2023,Accepted,Valid,FALSE,"",smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Hieracium umbellatum,L.,skjermsveve,Tracheophyta,Asterales,Asteraceae,Hieracium,species,NE,NE,10.4236,63.445,7,2008,Accepted,Valid,FALSE,"",Not a synonym,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Scapania calcicola,(Arnell & J.Perss.) W.Ingham,kalktvebladmose,Marchantiophyta,Jungermanniales,Scapaniaceae,Scapania,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Pseudoleskeella nervosa,(Brid.) Nyholm,broddtråklemose,Bryophyta,Hypnales,Leskeaceae,Pseudoleskeella,species,NE,LC,10.4235,63.4454,1414,1891,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Plagiobryum zierii,(Dicks. ex Hedw.) Lindb.,,Bryophyta,Bryales,Bryaceae,Plagiobryum,species,NE,,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Barbula convoluta,Hedw.,slireskruemose,Bryophyta,Pottiales,Pottiaceae,Barbula,species,NE,LC,10.4226,63.4447,1,2009,Accepted,Valid,TRUE,Streblotrichum convolutum,"",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Encalypta streptocarpa,Hedw.,storklokkemose,Bryophyta,Encalyptales,Encalyptaceae,Encalypta,species,NE,LC,10.4232,63.4447,1,2009,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Encalypta ciliata,Hedw.,gullklokkemose,Bryophyta,Encalyptales,Encalyptaceae,Encalypta,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Barbula unguiculata,Hedw.,vegskruemose,Bryophyta,Pottiales,Pottiaceae,Barbula,species,NE,LC,10.4226,63.4447,1,2009,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tortula muralis,Hedw.,murtustmose,Bryophyta,Pottiales,Pottiaceae,Tortula,species,NE,LC,10.4235,63.4454,1414,1894,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tortula acaulon,(With.) R.H.Zander,svøpløkmose,Bryophyta,Pottiales,Pottiaceae,Tortula,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Weissia brachycarpa,(Nees & Hornsch.) Jur.,hinnekrusmose,Bryophyta,Pottiales,Pottiaceae,Weissia,species,NE,LC,10.4235,63.4454,1414,1891,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Schistidium apocarpum,(Hedw.) Bruch & Schimp.,storblomstermose,Bryophyta,Grimmiales,Grimmiaceae,Schistidium,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Bartramia pomiformis,Hedw.,eplekulemose,Bryophyta,Bartramiales,Bartramiaceae,Bartramia,species,NE,LC,10.4235,63.4454,1414,1965,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Fissidens dubius var. mucronatus,"(Breidl. ex Limpr.) Kartt., Hedenäs & L. Söderstr.",,Bryophyta,Dicranales,Fissidentaceae,Fissidens,variety,,,10.4216,63.4452,1,2009,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Radula complanata,(L.) Dumort.,krinsflatmose,Marchantiophyta,Porellales,Radulaceae,Radula,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Lathyrus pratensis,L.,gulflatbelg,Tracheophyta,Fabales,Fabaceae,Lathyrus,species,LC,LC,10.42185,63.445276,25,2012,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Ulmus glabra,Huds.,alm,Tracheophyta,Rosales,Ulmaceae,Ulmus,species,DD,EN,10.42724,63.444236,5,2020,Accepted,Valid,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Sedum acre  subsp. majus,(Masters) R.T.Clausen,bitterbergknapp,Tracheophyta,Saxifragales,Crassulaceae,Sedum,subspecies,NE,LC,10.427078,63.444116,10,2012,Accepted,Valid,TRUE,Sedum acre var. majus,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Salix myrsinifolia,Salisb.,storvier,Tracheophyta,Malpighiales,Salicaceae,Salix,species,LC,LC,10.424,63.445,,2005,Accepted,Valid,FALSE,"","",040c5662-da76-4782-a48e-cdea1892d14c
Corydalis intermedia,(L.) Mérat,lerkespore,Tracheophyta,Ranunculales,Papaveraceae,Corydalis,species,NE,LC,10.422119,63.445408,8,2023,Accepted,Valid,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Porella cordaeana,(Huebener) Moore,lurvteppemose,Marchantiophyta,Porellales,Porellaceae,Porella,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Convallaria majalis,L.,liljekonvall,Tracheophyta,Asparagales,Asparagaceae,Convallaria,species,NE,LC,10.421868,63.445268,25,2010,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Schistidium papillosum,Culm.,rødblomstermose,Bryophyta,Grimmiales,Grimmiaceae,Schistidium,species,NE,LC,10.4235,63.4454,1414,1894,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Eurhynchiastrum pulchellum,(Hedw.) Ignatov & Huttunen,krypmoldmose,Bryophyta,Hypnales,Brachytheciaceae,Eurhynchiastrum,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ptychostomum salinum,(I.Hagen ex Limpr.) J.R.Spence,fjærevrangmose,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hylocomiadelphus triquetrus,(Hedw.) Ochyra & Stebel,storkransmose,Bryophyta,Hypnales,Hylocomiaceae,Hylocomiadelphus,species,NE,LC,10.4235,63.4454,1414,1954,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Stereodon hamulosus,(Schimp.) Lindb.,seterflette,Bryophyta,Hypnales,Hypnaceae,Stereodon,species,NE,LC,10.4235,63.4454,1414,1895,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Leucanthemum eliasii,"(Sennen & Pau) Vogt, Konowalik & Oberpr.",prestekrage,Tracheophyta,Asterales,Asteraceae,Leucanthemum,species,NE,LC,10.421715,63.445212,10,2020,Accepted,Valid,TRUE,Leucanthemum vulgare var. eliasii,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Flexitrichum gracile,(Mitt.) Ignatov & Fedosov,kjempebust,Bryophyta,Scouleriales,Flexitrichaceae,Flexitrichum,species,NE,LC,10.4235,63.4454,1414,1888,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Geheebia fallax,(Hedw.) R.H. Zander,,Bryophyta,Pottiales,Pottiaceae,Geheebia,species,NE,,10.4216,63.4452,1,2009,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Asplenium ruta-muraria,L.,murburkne,Tracheophyta,Polypodiales,Aspleniaceae,Asplenium,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Asplenium septentrionale,(L.) Hoffm.,olavsskjegg,Tracheophyta,Polypodiales,Aspleniaceae,Asplenium,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Cystopteris fragilis  var. fragilis,"","",Tracheophyta,Polypodiales,Cystopteridaceae,Cystopteris,variety,,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Phegopteris connectilis,(Michx.) Watt,hengeving,Tracheophyta,Polypodiales,Thelypteridaceae,Phegopteris,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Hennediella heimii,(Hedw.) R.H.Zander,fjæremose,Bryophyta,Pottiales,Pottiaceae,Hennediella,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tortella nitida var. fragilifolia,(Jur.) Köckinger & Hedenäs,,Bryophyta,Pottiales,Pottiaceae,Tortella,variety,,,10.4235,63.4454,1414,1889,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tortella tortuosa,(Hedw.) Limpr.,putevrimose,Bryophyta,Pottiales,Pottiaceae,Tortella,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Aloina brevirostris,(Hook. & Grev.) Kindb.,småtøffelmose,Bryophyta,Pottiales,Pottiaceae,Aloina,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ulota drummondii,(Hook. & Grev.) Brid.,snutegullhette,Bryophyta,Orthotrichales,Orthotrichaceae,Ulota,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Orthotrichum anomalum,Hedw.,fakkelbustehette,Bryophyta,Orthotrichales,Orthotrichaceae,Orthotrichum,species,NE,LC,10.4235,63.4454,1414,1890,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Racomitrium lanuginosum,(Hedw.) Brid.,heigråmose,Bryophyta,Grimmiales,Grimmiaceae,Racomitrium,species,NE,LC,10.4235,63.4454,1414,1894,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Cynodontium bruntonii,(Sm.) Bruch & Schimp.,duskskortemose,Bryophyta,Dicranales,Dicranaceae,Cynodontium,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Pleuridium subulatum,(Hedw.) Rabenh.,hårfaksmose,Bryophyta,Dicranales,Ditrichaceae,Pleuridium,species,NE,LC,10.4216,63.4452,1,2009,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Aulacomnium androgynum,(Hedw.) Schwägr.,dvergfiltmose,Bryophyta,Aulacomniales,Aulacomniaceae,Aulacomnium,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Rosulabryum capillare,(Hedw.) J.R.Spence,,Bryophyta,Bryales,Bryaceae,Rosulabryum,species,NE,,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Antitrichia curtipendula,(Timm ex Hedw.) Brid.,ryemose,Bryophyta,Hypnales,Leucodontaceae,Antitrichia,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Rhytidiadelphus loreus,(Hedw.) Warnst.,kystkransmose,Bryophyta,Hypnales,Hylocomiaceae,Rhytidiadelphus,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Rhytidium rugosum,(Ehrh. ex Hedw.) Kindb.,labbmose,Bryophyta,Hypnales,Rhytidiaceae,Rhytidium,species,NE,NT,10.4216,63.4452,1,2009,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Cirriphyllum piliferum,(Hedw.) Grout,lundveikmose,Bryophyta,Hypnales,Brachytheciaceae,Cirriphyllum,species,NE,LC,10.4235,63.4454,1414,1890,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Brachythecium rutabulum,(Hedw.) Schimp.,storlundmose,Bryophyta,Hypnales,Brachytheciaceae,Brachythecium,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Brachythecium rivulare,Schimp.,sumplundmose,Bryophyta,Hypnales,Brachytheciaceae,Brachythecium,species,NE,LC,10.4235,63.4454,1414,1954,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Brachythecium glareosum,(Bruch ex Spruce) Schimp.,gull-lundmose,Bryophyta,Hypnales,Brachytheciaceae,Brachythecium,species,NE,LC,10.4235,63.4454,1414,1894,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Campylium chrysophyllum,(Brid.) Lange,,Bryophyta,Hypnales,Amblystegiaceae,Campylium,species,NE,,10.4235,63.4454,1414,1894,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hygrohypnum luridum,(Hedw.) Jenn.,lurvbekkemose,Bryophyta,Hypnales,Amblystegiaceae,Hygrohypnum,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Sanionia uncinata,(Hedw.) Loeske,klobleikmose,Bryophyta,Hypnales,Amblystegiaceae,Sanionia,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Palustriella commutata,(Hedw.) Ochyra,kalktuffmose,Bryophyta,Hypnales,Amblystegiaceae,Palustriella,species,NE,LC,10.4235,63.4454,1414,1889,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hypnum resupinatum,Taylor,"",Bryophyta,Hypnales,Hypnaceae,Hypnum,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Homomallium incurvatum,(Schrad. ex Brid.) Loeske,klamremose,Bryophyta,Hypnales,Pylaisiaceae,Homomallium,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Juniperus communis,L.,einer,Tracheophyta,Pinales,Cupressaceae,Juniperus,species,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Equisetum sylvaticum,L.,skogsnelle,Tracheophyta,Equisetales,Equisetaceae,Equisetum,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Equisetum pratense,Ehrh.,engsnelle,Tracheophyta,Equisetales,Equisetaceae,Equisetum,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Frullania tamarisci,(L.) Dumort.,matteblæremose,Marchantiophyta,Porellales,Frullaniaceae,Frullania,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Frullania dilatata,(L.) Dumort.,hjelmblæremose,Marchantiophyta,Porellales,Frullaniaceae,Frullania,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Lepidozia reptans,(L.) Dumort.,skogkrekmose,Marchantiophyta,Jungermanniales,Lepidoziaceae,Lepidozia,species,NE,LC,10.4235,63.4454,1414,1889,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Schistochilopsis incisa,(Schrad.) Konstantinova,lurvflik,Marchantiophyta,Jungermanniales,Scapaniaceae,Schistochilopsis,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tritomaria exsectiformis,(Breidl.) Schiffner ex Loeske,stihoggtann,Marchantiophyta,Jungermanniales,Lophoziaceae,Tritomaria,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Isopaches bicrenatus,(Schmidel) H.Buch,aurflik,Marchantiophyta,Jungermanniales,Anastrophyllaceae,Isopaches,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Nardus stricta var. minor,Guffroy,finnskjegg,Tracheophyta,Poales,Poaceae,Nardus,variety,NE,LC,10.423522,63.445355,1000,1990,Unchecked,"",FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Danthonia decumbens,DC.,knegras,Tracheophyta,Poales,Poaceae,Danthonia,species,NE,LC,10.4226,63.4453,7,2008,Accepted,Valid,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Poa pratensis,L.,,Tracheophyta,Poales,Poaceae,Poa,species,,,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Poa pratensis subsp. pratensis,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Poa glauca,Vahl,blårapp,Tracheophyta,Poales,Poaceae,Poa,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Poa nemoralis,L.,lundrapp,Tracheophyta,Poales,Poaceae,Poa,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Poa nemoralis var. acuta,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Puccinellia distans,(Jacq.) Parl.,kanellav,Tracheophyta,Poales,Poaceae,Puccinellia,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Festuca ovina L.,,sauesvingel,Tracheophyta,Poales,,,,NE,LC,10.423522,63.445355,1000,1990,,,FALSE,"",no match found,f06ed729-104f-4e51-9db3-dfd9b228a1be
Anthoxanthum odoratum,L.,gulaks,Tracheophyta,Poales,Poaceae,Anthoxanthum,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Leymus arenarius,Hochst.,strandrug,Tracheophyta,Poales,Poaceae,Leymus,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Agrostis capillaris,L.,engkvein,Tracheophyta,Poales,Poaceae,Agrostis,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Blysmus rufus,Link,rustsivaks,Tracheophyta,Poales,Cyperaceae,Blysmus,species,NE,LC,10.4235,63.4454,1414,,Accepted,Valid,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Carex ornithopoda,Willd.,fuglestarr,Tracheophyta,Poales,Cyperaceae,Carex,species,NE,LC,10.421841,63.445188,5,2022,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Carex panicea,L.,kornstarr,Tracheophyta,Poales,Cyperaceae,Carex,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Carex panicea f. nigra,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Carex pallescens,L.,bleikstarr,Tracheophyta,Poales,Cyperaceae,Carex,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Carex pallescens f. elatior,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Maianthemum bifolium,(L.) F.W.Schmidt,maiblom,Tracheophyta,Asparagales,Asparagaceae,Maianthemum,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Polygonatum verticillatum,(L.) All.,kranskonvall,Tracheophyta,Asparagales,Asparagaceae,Polygonatum,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Calluna vulgaris,(L.) Hill,røsslyng,Tracheophyta,Ericales,Ericaceae,Calluna,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Arctostaphylos uva-ursi,(L.) Spreng.,melbær,Tracheophyta,Ericales,Ericaceae,Arctostaphylos,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Vaccinium myrtillus,L.,blåbær,Tracheophyta,Ericales,Ericaceae,Vaccinium,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Viburnum opulus f. flavum,(Horw.) P.D.Sell,korsved,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,form,NE,LC,10.423522,63.445355,1000,1990,Unchecked,Illegitimate,FALSE,"",smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
