validScientificName,scientificNameAuthorship,phylum,order,family,genus,taxonRank,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,nomenclaturalStatus,taxonomicStatus,New.accepted,Old.name,One.Reason,datasetKey
Prunus padus f. glauca,(Nakai) Kitag.,Tracheophyta,Rosales,Rosaceae,Prunus,form,LC,10.42202,63.445503,6,2021,"",Unchecked,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Alchemilla monticola,Opiz,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,10.426153,63.444461,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Aquilegia vulgaris,L.,Tracheophyta,Ranunculales,Ranunculaceae,Aquilegia,species,NE,10.422721,63.444674,5,2022,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Populus tremula f. rthensis,T.Bunusevac & S.Jovanovic,Tracheophyta,Malpighiales,Salicaceae,Populus,form,LC,10.421303,63.445625,,2020,"",Unchecked,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Descurainia sophia,(L.) Webb ex Prantl,Tracheophyta,Brassicales,Brassicaceae,Descurainia,species,NE,10.4235,63.4454,1414,1923,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Erysimum virgatum,Roth,Tracheophyta,Brassicales,Brassicaceae,Erysimum,species,NE,10.42185,63.445276,25,2012,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Arabidopsis thaliana,(L.) Heynh.,Tracheophyta,Brassicales,Brassicaceae,Arabidopsis,species,NE,10.421859,63.445236,23,2021,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Sagina nodosa,(L.) Fenzl,Tracheophyta,Caryophyllales,Caryophyllaceae,Sagina,species,NE,10.42185,63.445276,25,2012,Valid,Accepted,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Cerastium biebersteinii,DC.,Tracheophyta,Caryophyllales,Caryophyllaceae,Cerastium,species,NE,10.425623,63.445658,5,2020,Valid,Accepted,TRUE,Cerastium biebersteinii subsp. transcaucasicum,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Senecio dubitabilis,C.Jeffrey & Y.L.Chen,Tracheophyta,Asterales,Asteraceae,Senecio,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Senecio vulgaris var. dubius,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Lapsana communis  subsp. alpina,(Boiss. & Balansa) P.D.Sell,Tracheophyta,Asterales,Asteraceae,Lapsana,subspecies,NE,10.425461,63.444108,25,2023,Valid,Accepted,FALSE,"",smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Hieracium umbellatum,L.,Tracheophyta,Asterales,Asteraceae,Hieracium,species,NE,10.4236,63.445,7,2008,Valid,Accepted,FALSE,"",Not a synonym,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Malva moschata,L.,Tracheophyta,Malvales,Malvaceae,Malva,species,NE,10.425623,63.445658,5,2020,Valid,Accepted,TRUE,Malva moschata f. alba,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Scapania calcicola,(Arnell & J.Perss.) W.Ingham,Marchantiophyta,Jungermanniales,Scapaniaceae,Scapania,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Pseudoleskeella nervosa,(Brid.) Nyholm,Bryophyta,Hypnales,Leskeaceae,Pseudoleskeella,species,NE,10.4235,63.4454,1414,1891,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Plagiobryum zierii,(Dicks. ex Hedw.) Lindb.,Bryophyta,Bryales,Bryaceae,Plagiobryum,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Barbula convoluta,Hedw.,Bryophyta,Pottiales,Pottiaceae,Barbula,species,NE,10.4226,63.4447,1,2009,Valid,Accepted,TRUE,Streblotrichum convolutum,"",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Encalypta streptocarpa,Hedw.,Bryophyta,Encalyptales,Encalyptaceae,Encalypta,species,NE,10.4232,63.4447,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Encalypta ciliata,Hedw.,Bryophyta,Encalyptales,Encalyptaceae,Encalypta,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Barbula unguiculata,Hedw.,Bryophyta,Pottiales,Pottiaceae,Barbula,species,NE,10.4226,63.4447,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tortula muralis,Hedw.,Bryophyta,Pottiales,Pottiaceae,Tortula,species,NE,10.4235,63.4454,1414,1894,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tortula acaulon,(With.) R.H.Zander,Bryophyta,Pottiales,Pottiaceae,Tortula,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Weissia brachycarpa,(Nees & Hornsch.) Jur.,Bryophyta,Pottiales,Pottiaceae,Weissia,species,NE,10.4235,63.4454,1414,1891,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Schistidium apocarpum,(Hedw.) Bruch & Schimp.,Bryophyta,Grimmiales,Grimmiaceae,Schistidium,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Bartramia pomiformis,Hedw.,Bryophyta,Bartramiales,Bartramiaceae,Bartramia,species,NE,10.4235,63.4454,1414,1965,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Fissidens dubius var. mucronatus,"(Breidl. ex Limpr.) Kartt., Hedenäs & L. Söderstr.",Bryophyta,Dicranales,Fissidentaceae,Fissidens,variety,,10.4216,63.4452,1,2009,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Radula complanata,(L.) Dumort.,Marchantiophyta,Porellales,Radulaceae,Radula,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Laburnum anagyroidis,Medik.,Tracheophyta,Fabales,Fabaceae,Laburnum,species,LC,10.425003,63.444272,10,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Lathyrus pratensis,L.,Tracheophyta,Fabales,Fabaceae,Lathyrus,species,LC,10.42185,63.445276,25,2012,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Ulmus glabra,Huds.,Tracheophyta,Rosales,Ulmaceae,Ulmus,species,DD,10.42724,63.444236,5,2020,Valid,Accepted,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Sedum acre  subsp. majus,(Masters) R.T.Clausen,Tracheophyta,Saxifragales,Crassulaceae,Sedum,subspecies,NE,10.427078,63.444116,10,2012,Valid,Accepted,TRUE,Sedum acre var. majus,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Anthriscus sylvestris,(L.) Hoffm.,Tracheophyta,Apiales,Apiaceae,Anthriscus,species,NE,10.42185,63.445276,25,2012,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Salix myrsinifolia,Salisb.,Tracheophyta,Malpighiales,Salicaceae,Salix,species,LC,10.424,63.445,,2005,Valid,Accepted,FALSE,"","",040c5662-da76-4782-a48e-cdea1892d14c
Corydalis intermedia,(L.) Mérat,Tracheophyta,Ranunculales,Papaveraceae,Corydalis,species,NE,10.422119,63.445408,8,2023,Valid,Accepted,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Porella cordaeana,(Huebener) Moore,Marchantiophyta,Porellales,Porellaceae,Porella,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Convallaria majalis,L.,Tracheophyta,Asparagales,Asparagaceae,Convallaria,species,NE,10.421868,63.445268,25,2010,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Schistidium papillosum,Culm.,Bryophyta,Grimmiales,Grimmiaceae,Schistidium,species,NE,10.4235,63.4454,1414,1894,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Eurhynchiastrum pulchellum,(Hedw.) Ignatov & Huttunen,Bryophyta,Hypnales,Brachytheciaceae,Eurhynchiastrum,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Urtica dioica,L.,Tracheophyta,Rosales,Urticaceae,Urtica,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Urtica dioica var. dioica,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Ptychostomum salinum,(I.Hagen ex Limpr.) J.R.Spence,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hylocomiadelphus triquetrus,(Hedw.) Ochyra & Stebel,Bryophyta,Hypnales,Hylocomiaceae,Hylocomiadelphus,species,NE,10.4235,63.4454,1414,1954,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Stereodon hamulosus,(Schimp.) Lindb.,Bryophyta,Hypnales,Hypnaceae,Stereodon,species,NE,10.4235,63.4454,1414,1895,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Leucanthemum eliasii,"(Sennen & Pau) Vogt, Konowalik & Oberpr.",Tracheophyta,Asterales,Asteraceae,Leucanthemum,species,NE,10.421715,63.445212,10,2020,Valid,Accepted,TRUE,Leucanthemum vulgare var. eliasii,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Flexitrichum gracile,(Mitt.) Ignatov & Fedosov,Bryophyta,Scouleriales,Flexitrichaceae,Flexitrichum,species,NE,10.4235,63.4454,1414,1888,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Geheebia fallax,(Hedw.) R.H. Zander,Bryophyta,Pottiales,Pottiaceae,Geheebia,species,NE,10.4216,63.4452,1,2009,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Asplenium ruta-muraria,L.,Tracheophyta,Polypodiales,Aspleniaceae,Asplenium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Asplenium septentrionale,(L.) Hoffm.,Tracheophyta,Polypodiales,Aspleniaceae,Asplenium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Cystopteris fragilis  var. fragilis,"",Tracheophyta,Polypodiales,Cystopteridaceae,Cystopteris,variety,,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Onoclea struthiopteris,Roth,Tracheophyta,Polypodiales,Onocleaceae,Onoclea,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Matteuccia struthiopteris,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Phegopteris connectilis,(Michx.) Watt,Tracheophyta,Polypodiales,Thelypteridaceae,Phegopteris,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Hennediella heimii,(Hedw.) R.H.Zander,Bryophyta,Pottiales,Pottiaceae,Hennediella,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tortella nitida var. fragilifolia,(Jur.) Köckinger & Hedenäs,Bryophyta,Pottiales,Pottiaceae,Tortella,variety,,10.4235,63.4454,1414,1889,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tortella tortuosa,(Hedw.) Limpr.,Bryophyta,Pottiales,Pottiaceae,Tortella,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Aloina brevirostris,(Hook. & Grev.) Kindb.,Bryophyta,Pottiales,Pottiaceae,Aloina,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ulota drummondii,(Hook. & Grev.) Brid.,Bryophyta,Orthotrichales,Orthotrichaceae,Ulota,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Orthotrichum anomalum,Hedw.,Bryophyta,Orthotrichales,Orthotrichaceae,Orthotrichum,species,NE,10.4235,63.4454,1414,1890,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Racomitrium lanuginosum,(Hedw.) Brid.,Bryophyta,Grimmiales,Grimmiaceae,Racomitrium,species,NE,10.4235,63.4454,1414,1894,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Cynodontium bruntonii,(Sm.) Bruch & Schimp.,Bryophyta,Dicranales,Dicranaceae,Cynodontium,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Pleuridium subulatum,(Hedw.) Rabenh.,Bryophyta,Dicranales,Ditrichaceae,Pleuridium,species,NE,10.4216,63.4452,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Aulacomnium androgynum,(Hedw.) Schwägr.,Bryophyta,Aulacomniales,Aulacomniaceae,Aulacomnium,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Rosulabryum capillare,(Hedw.) J.R.Spence,Bryophyta,Bryales,Bryaceae,Rosulabryum,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Antitrichia curtipendula,(Timm ex Hedw.) Brid.,Bryophyta,Hypnales,Leucodontaceae,Antitrichia,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Rhytidiadelphus loreus,(Hedw.) Warnst.,Bryophyta,Hypnales,Hylocomiaceae,Rhytidiadelphus,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Rhytidium rugosum,(Ehrh. ex Hedw.) Kindb.,Bryophyta,Hypnales,Rhytidiaceae,Rhytidium,species,NE,10.4216,63.4452,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Cirriphyllum piliferum,(Hedw.) Grout,Bryophyta,Hypnales,Brachytheciaceae,Cirriphyllum,species,NE,10.4235,63.4454,1414,1890,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Brachythecium rutabulum,(Hedw.) Schimp.,Bryophyta,Hypnales,Brachytheciaceae,Brachythecium,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Brachythecium rivulare,Schimp.,Bryophyta,Hypnales,Brachytheciaceae,Brachythecium,species,NE,10.4235,63.4454,1414,1954,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Brachythecium glareosum,(Bruch ex Spruce) Schimp.,Bryophyta,Hypnales,Brachytheciaceae,Brachythecium,species,NE,10.4235,63.4454,1414,1894,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Campylium chrysophyllum,(Brid.) Lange,Bryophyta,Hypnales,Amblystegiaceae,Campylium,species,NE,10.4235,63.4454,1414,1894,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hygrohypnum luridum,(Hedw.) Jenn.,Bryophyta,Hypnales,Amblystegiaceae,Hygrohypnum,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Sanionia uncinata,(Hedw.) Loeske,Bryophyta,Hypnales,Amblystegiaceae,Sanionia,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Palustriella commutata,(Hedw.) Ochyra,Bryophyta,Hypnales,Amblystegiaceae,Palustriella,species,NE,10.4235,63.4454,1414,1889,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hypnum resupinatum,Taylor,Bryophyta,Hypnales,Hypnaceae,Hypnum,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Homomallium incurvatum,(Schrad. ex Brid.) Loeske,Bryophyta,Hypnales,Pylaisiaceae,Homomallium,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Thuja occidentalis,L.,Tracheophyta,Pinales,Cupressaceae,Thuja,species,LC,10.4236,63.4449,7,2008,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Juniperus communis,L.,Tracheophyta,Pinales,Cupressaceae,Juniperus,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Larix decidua,Mill.,Tracheophyta,Pinales,Pinaceae,Larix,species,LC,10.426153,63.444461,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Equisetum sylvaticum,L.,Tracheophyta,Equisetales,Equisetaceae,Equisetum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Equisetum pratense,Ehrh.,Tracheophyta,Equisetales,Equisetaceae,Equisetum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Frullania tamarisci,(L.) Dumort.,Marchantiophyta,Porellales,Frullaniaceae,Frullania,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Frullania dilatata,(L.) Dumort.,Marchantiophyta,Porellales,Frullaniaceae,Frullania,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Lepidozia reptans,(L.) Dumort.,Marchantiophyta,Jungermanniales,Lepidoziaceae,Lepidozia,species,NE,10.4235,63.4454,1414,1889,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Schistochilopsis incisa,(Schrad.) Konstantinova,Marchantiophyta,Jungermanniales,Scapaniaceae,Schistochilopsis,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tritomaria exsectiformis,(Breidl.) Schiffner ex Loeske,Marchantiophyta,Jungermanniales,Lophoziaceae,Tritomaria,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Isopaches bicrenatus,(Schmidel) H.Buch,Marchantiophyta,Jungermanniales,Anastrophyllaceae,Isopaches,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Nardus stricta var. minor,Guffroy,Tracheophyta,Poales,Poaceae,Nardus,variety,NE,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Danthonia decumbens,DC.,Tracheophyta,Poales,Poaceae,Danthonia,species,NE,10.4226,63.4453,7,2008,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Poa pratensis,L.,Tracheophyta,Poales,Poaceae,Poa,species,,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Poa pratensis subsp. pratensis,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Poa annua,L.,Tracheophyta,Poales,Poaceae,Poa,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Poa annua f. annua,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Poa glauca,Vahl,Tracheophyta,Poales,Poaceae,Poa,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Poa nemoralis,L.,Tracheophyta,Poales,Poaceae,Poa,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Poa nemoralis var. acuta,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Puccinellia distans,(Jacq.) Parl.,Tracheophyta,Poales,Poaceae,Puccinellia,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Festuca rubra,L.,Tracheophyta,Poales,Poaceae,Festuca,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Festuca rubra f. rubra,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Festuca ovina L.,,Tracheophyta,Poales,,,,NE,10.423522,63.445355,1000,1990,,,FALSE,"",no match found,f06ed729-104f-4e51-9db3-dfd9b228a1be
Anthoxanthum odoratum,L.,Tracheophyta,Poales,Poaceae,Anthoxanthum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Lolium pratense,(Huds.) Darbysh.,Tracheophyta,Poales,Poaceae,Lolium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Leymus arenarius,Hochst.,Tracheophyta,Poales,Poaceae,Leymus,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Agrostis capillaris,L.,Tracheophyta,Poales,Poaceae,Agrostis,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Blysmus rufus,Link,Tracheophyta,Poales,Cyperaceae,Blysmus,species,NE,10.4235,63.4454,1414,,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Carex ornithopoda,Willd.,Tracheophyta,Poales,Cyperaceae,Carex,species,NE,10.421841,63.445188,5,2022,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Carex panicea,L.,Tracheophyta,Poales,Cyperaceae,Carex,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Carex panicea f. nigra,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Carex pallescens,L.,Tracheophyta,Poales,Cyperaceae,Carex,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Carex pallescens f. elatior,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Maianthemum bifolium,(L.) F.W.Schmidt,Tracheophyta,Asparagales,Asparagaceae,Maianthemum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Polygonatum verticillatum,(L.) All.,Tracheophyta,Asparagales,Asparagaceae,Polygonatum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Calluna vulgaris,(L.) Hill,Tracheophyta,Ericales,Ericaceae,Calluna,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Arctostaphylos uva-ursi,(L.) Spreng.,Tracheophyta,Ericales,Ericaceae,Arctostaphylos,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Vaccinium myrtillus,L.,Tracheophyta,Ericales,Ericaceae,Vaccinium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Viburnum opulus f. flavum,(Horw.) P.D.Sell,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,form,NE,10.423522,63.445355,1000,1990,Illegitimate,Unchecked,FALSE,"",smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Sambucus racemosa f. nuda,H.Hara,Tracheophyta,Dipsacales,Viburnaceae,Sambucus,form,LC,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Rumex aquaticus  subsp. arcticus,(Trautv.) Hiitonen,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,subspecies,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Rumex longifolius var. nanus,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Rumex thyrsiflorus,Fingerh.,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Rumex acetosa var. crispus,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Rumex acetosella,L.,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,species,,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Rumex acetosella subsp. acetosella,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
