validScientificName,scientificNameAuthorship,phylum,order,family,genus,taxonRank,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,nomenclaturalStatus,taxonomicStatus,New.accepted,Old.name,One.Reason,datasetKey
Persicaria vivipara,(L.) Ronse Decr.,Tracheophyta,Caryophyllales,Polygonaceae,Persicaria,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Bistorta vivipara,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Geranium robertianum,L.,Tracheophyta,Geraniales,Geraniaceae,Geranium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Galium aparine,L.,Tracheophyta,Gentianales,Rubiaceae,Galium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Galium aparine var. verum,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Asperugo procumbens,L.,Tracheophyta,Boraginales,Boraginaceae,Asperugo,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Lamium purpureum  var. incisum,(Willd.) Pers.,Tracheophyta,Lamiales,Lamiaceae,Lamium,variety,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Accepted,f06ed729-104f-4e51-9db3-dfd9b228a1be
Clinopodium acinos,Kuntze,Tracheophyta,Lamiales,Lamiaceae,Clinopodium,species,NE,10.426189,63.444501,10,2007,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Lamium galeobdolon,(L.) L.,Tracheophyta,Lamiales,Lamiaceae,Lamium,species,,10.426647,63.444417,5,2020,Valid,Accepted,TRUE,Lamiastrum galeobdolon,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Vicia sylvatica var. violacea,Behm,Tracheophyta,Fabales,Fabaceae,Vicia,variety,NE,10.423522,63.445355,1000,1990,Valid,Unchecked,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Ribes sativum,Syme,Tracheophyta,Saxifragales,Grossulariaceae,Ribes,species,NE,10.421715,63.445212,10,2020,Valid,Accepted,TRUE,Ribes rubrum var. sativum,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Ribes uva-crispa f. oblongum,(Kuntze) Soó,Tracheophyta,Saxifragales,Grossulariaceae,Ribes,form,NE,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Filipendula ulmaria,(L.) Maxim.,Tracheophyta,Rosales,Rosaceae,Filipendula,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Accepted,f06ed729-104f-4e51-9db3-dfd9b228a1be
Rosa villosa var. duplex,Weston,Tracheophyta,Rosales,Rosaceae,Rosa,variety,NE,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"",smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Rosa majalis,Herrm.,Tracheophyta,Rosales,Rosaceae,Rosa,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Accepted,f06ed729-104f-4e51-9db3-dfd9b228a1be
Rosa mollis f. atona,Matsson,Tracheophyta,Rosales,Rosaceae,Rosa,form,NE,10.421715,63.445212,10,2020,"",Unchecked,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Sorbus aucuparia,L.,Tracheophyta,Rosales,Rosaceae,Sorbus,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Sorbus aucuparia var. typica,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Amelanchier humilis,Wiegand,Tracheophyta,Rosales,Rosaceae,Amelanchier,species,NE,10.421859,63.445236,23,2021,Valid,Accepted,FALSE,"",Accepted,b124e1e0-4755-430f-9eab-894f25a9b59c
Cotoneaster horizontalis,Decne.,Tracheophyta,Rosales,Rosaceae,Cotoneaster,species,NE,10.424545,63.444718,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Alchemilla filicaulis,Buser,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,10.4235,63.4454,1414,1901,Valid,Accepted,FALSE,"",Accepted,e45c7d91-81c6-4455-86e3-2965a5739b1f
Alchemilla wichurae,(Buser) Stefánsson,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,10.421715,63.445212,10,2020,Valid,Accepted,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Alchemilla glabra,Neygenf.,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Alchemilla micans,Buser,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,10.4236,63.4449,7,2008,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Alchemilla subcrenata,Buser,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Accepted,f06ed729-104f-4e51-9db3-dfd9b228a1be
Anemonoides quinquefolia,(L.) Holub,Tracheophyta,Ranunculales,Ranunculaceae,Anemonoides,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Anemone nemorosa f. nitida,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Ranunculus repens,L.,Tracheophyta,Ranunculales,Ranunculaceae,Ranunculus,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Ranunculus repens var. major,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Ranunculus acris,L.,Tracheophyta,Ranunculales,Ranunculaceae,Ranunculus,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Ranunculus acris f. acris,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Aegopodium podagraria,L.,Tracheophyta,Apiales,Apiaceae,Aegopodium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Carum carvi,L.,Tracheophyta,Apiales,Apiaceae,Carum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Carum carvi f. carvi,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Heracleum sphondylium  subsp. sibiricum,(L.) Simonk.,Tracheophyta,Apiales,Apiaceae,Heracleum,subspecies,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Hippophae rhamnoides,L.,Tracheophyta,Rosales,Elaeagnaceae,Hippophae,species,LC,10.4224,63.4451,7,2008,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Rhamnus cathartica,L.,Tracheophyta,Rosales,Rhamnaceae,Rhamnus,species,LC,10.426719,63.444345,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Hesperis matronalis,L.,Tracheophyta,Brassicales,Brassicaceae,Hesperis,species,NE,10.4235,63.4454,1414,1904,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Noccaea caerulescens,(J.Presl & C.Presl) F.K.Mey.,Tracheophyta,Brassicales,Brassicaceae,Noccaea,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Sinapis arvensis,L.,Tracheophyta,Brassicales,Brassicaceae,Sinapis,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Sinapis arvensis f. orientalis,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Erysimum cheiranthoides,L.,Tracheophyta,Brassicales,Brassicaceae,Erysimum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Erysimum incanum,Kunze,Tracheophyta,Brassicales,Brassicaceae,Erysimum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Erysimum strictum,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Thlaspi arvense,L.,Tracheophyta,Brassicales,Brassicaceae,Thlaspi,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Rorippa palustris,Besser,Tracheophyta,Brassicales,Brassicaceae,Rorippa,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Cornus suecica,L.,Tracheophyta,Cornales,Cornaceae,Cornus,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Cornus suecica f. suecica,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Atriplex prostrata,Boucher ex DC.,Tracheophyta,Caryophyllales,Amaranthaceae,Atriplex,species,,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Chenopodium album,L.,Tracheophyta,Caryophyllales,Amaranthaceae,Chenopodium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Chenopodium album f. dubium,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Moehringia trinervia,[Clairv.],Tracheophyta,Caryophyllales,Caryophyllaceae,Moehringia,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Sagina procumbens,L.,Tracheophyta,Caryophyllales,Caryophyllaceae,Sagina,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Sagina procumbens var. compacta,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Dianthus deltoides,L.,Tracheophyta,Caryophyllales,Caryophyllaceae,Dianthus,species,NE,10.425623,63.445658,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Cerastium tomentosum,L.,Tracheophyta,Caryophyllales,Caryophyllaceae,Cerastium,species,NE,10.4271,63.4441,10,2022,Valid,Accepted,FALSE,"",Not a synonym,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Cerastium fontanum,Baumg.,Tracheophyta,Caryophyllales,Caryophyllaceae,Cerastium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Cicerbita alpina,Wallr.,Tracheophyta,Asterales,Asteraceae,Cicerbita,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Matricaria discoidea,DC.,Tracheophyta,Asterales,Asteraceae,Matricaria,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Matricaria discoidea subsp. discoidea,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Sonchus arvensis var. nanus,Phil.,Tracheophyta,Asterales,Asteraceae,Sonchus,variety,NT,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Senecio viscosus,L.,Tracheophyta,Asterales,Asteraceae,Senecio,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Cirsium vulgare,(Savi) Ten.,Tracheophyta,Asterales,Asteraceae,Cirsium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Cirsium arvense,(L.) Scop.,Tracheophyta,Asterales,Asteraceae,Cirsium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Cirsium heterophyllum,(L.) Hill,Tracheophyta,Asterales,Asteraceae,Cirsium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Carduus crispus,L.,Tracheophyta,Asterales,Asteraceae,Carduus,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Carduus crispus var. albus,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Bellis perennis,L.,Tracheophyta,Asterales,Asteraceae,Bellis,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Bellis perennis f. plena,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Achillea ptarmica,L.,Tracheophyta,Asterales,Asteraceae,Achillea,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Achillea ptarmica f. ptarmica,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Artemisia vulgaris,L.,Tracheophyta,Asterales,Asteraceae,Artemisia,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Hieracium caesium,Fr.,Tracheophyta,Asterales,Asteraceae,Hieracium,species,NE,10.4235,63.4454,1414,1907,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Scrophularia nodosa,L.,Tracheophyta,Lamiales,Scrophulariaceae,Scrophularia,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Verbascum thapsus,L.,Tracheophyta,Lamiales,Scrophulariaceae,Verbascum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Verbascum thapsus var. boreale,Accepted,f06ed729-104f-4e51-9db3-dfd9b228a1be
Rhinanthus minor var. minor,"",Tracheophyta,Lamiales,Orobanchaceae,Rhinanthus,variety,NE,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Veronica officinalis,L.,Tracheophyta,Lamiales,Plantaginaceae,Veronica,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Veronica serpyllifolia,L.,Tracheophyta,Lamiales,Plantaginaceae,Veronica,species,,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Veronica serpyllifolia var. serpyllifolia,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Fraxinus excelsior,L.,Tracheophyta,Lamiales,Oleaceae,Fraxinus,species,NT,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Plantago media f. ovata,P.Snarskis,Tracheophyta,Lamiales,Plantaginaceae,Plantago,form,NE,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"",smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Plantago maritima  subsp. ciliata,Printz,Tracheophyta,Lamiales,Plantaginaceae,Plantago,subspecies,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Plantago maritima var. salsa,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Plantago major f. dura,(Pilg.) Domin,Tracheophyta,Lamiales,Plantaginaceae,Plantago,form,LC,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Acer platanoides,L.,Tracheophyta,Sapindales,Sapindaceae,Acer,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Acer platanoides f. nanum,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Epilobium montanum,L.,Tracheophyta,Myrtales,Onagraceae,Epilobium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Epilobium collinum,C.C.Gmel.,Tracheophyta,Myrtales,Onagraceae,Epilobium,species,NE,10.42185,63.445276,25,2012,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Euphrasia scottica,Wettst.,Tracheophyta,Lamiales,Orobanchaceae,Euphrasia,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Melica picta,K.Koch,Tracheophyta,Poales,Poaceae,Melica,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Melica nutans var. picta,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Avenella flexuosa,(L.) Drejer,Tracheophyta,Poales,Poaceae,Avenella,species,DD,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Lophocolea minor,Nees,Marchantiophyta,Jungermanniales,Lophocoleaceae,Lophocolea,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Lophocolea heterophylla,(Schrad.) Dumort.,Marchantiophyta,Jungermanniales,Lophocoleaceae,Lophocolea,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Lophocolea bidentata,(L.) Dumort.,Marchantiophyta,Jungermanniales,Lophocoleaceae,Lophocolea,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Scapania scandica,(Arnell & H.Buch) Macvicar,Marchantiophyta,Jungermanniales,Scapaniaceae,Scapania,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ulota crispa,(Hedw.) Brid.,Bryophyta,Orthotrichales,Orthotrichaceae,Ulota,species,NE,10.4235,63.4454,1414,1894,Valid,Accepted,TRUE,Ulota crispula,"",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Oxyrrhynchium hians,(Hedw.) Loeske,Bryophyta,Hypnales,Brachytheciaceae,Oxyrrhynchium,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Gymnostomum aeruginosum var. obscurum,J. Guerra,Bryophyta,Pottiales,Pottiaceae,Gymnostomum,variety,NE,10.4235,63.4454,1414,1888,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Polypodium vulgare,L.,Tracheophyta,Polypodiales,Polypodiaceae,Polypodium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Athyrium filix-femina,(L.) Roth,Tracheophyta,Polypodiales,Aspleniaceae,Athyrium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Dryopteris expansa,(C.Presl) Fraser-Jenk. & Jermy,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Dryopteris filix-mas,(L.) Schott,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Dryopteris carthusiana,(Vill.) H.P.Fuchs,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Tortula cernua,(Huebener) Lindb.,Bryophyta,Pottiales,Pottiaceae,Tortula,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Fissidens adianthoides,Hedw.,Bryophyta,Dicranales,Fissidentaceae,Fissidens,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ceratodon purpureus,(Hedw.) Brid.,Bryophyta,Dicranales,Ditrichaceae,Ceratodon,species,NE,10.4235,63.4454,1414,1891,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Grimmia torquata,Drumm.,Bryophyta,Grimmiales,Grimmiaceae,Grimmia,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Grimmia hartmanii,Schimp.,Bryophyta,Grimmiales,Grimmiaceae,Grimmia,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Grimmia laevigata,(Brid.) Brid.,Bryophyta,Grimmiales,Grimmiaceae,Grimmia,species,NE,10.4235,63.4454,1414,1825,Valid,Accepted,FALSE,"",Accepted,68a0650f-96ae-499c-8b2a-a4f92c01e4b3
Ditrichum pusillum,(Hedw.) Hampe,Bryophyta,Dicranales,Ditrichaceae,Ditrichum,species,NE,10.4216,63.4452,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Pohlia cruda,(Hedw.) Lindb.,Bryophyta,Bryales,Mniaceae,Pohlia,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Mnium stellare,Reichard ex Hedw.,Bryophyta,Bryales,Mniaceae,Mnium,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Mnium thomsonii,Schimp.,Bryophyta,Bryales,Mniaceae,Mnium,species,NE,10.4235,63.4454,1414,1889,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Leucodon sciuroides,(Hedw.) Schwägr.,Bryophyta,Hypnales,Leucodontaceae,Leucodon,species,NE,10.4216,63.4452,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Fissidens bryoides,Hedw.,Bryophyta,Dicranales,Fissidentaceae,Fissidens,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tetraphis pellucida,Hedw.,Bryophyta,Tetraphidales,Tetraphidaceae,Tetraphis,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Abietinella abietina,(Hedw.) M.Fleisch.,Bryophyta,Hypnales,Thuidiaceae,Abietinella,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Anomodon viticulosus,(Hedw.) Hook. & Taylor,Bryophyta,Hypnales,Anomodontaceae,Anomodon,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Plagiothecium denticulatum,(Hedw.) Schimp.,Bryophyta,Hypnales,Plagiotheciaceae,Plagiothecium,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Myurella julacea,(Schwägr.) Schimp.,Bryophyta,Hypnales,Theliaceae,Myurella,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ptilium crista-castrensis,(Hedw.) De Not.,Bryophyta,Hypnales,Pylaisiaceae,Ptilium,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Entodon concinnus,(De Not.) Paris,Bryophyta,Hypnales,Entodontaceae,Entodon,species,NE,10.4216,63.4452,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Andreaea rupestris,Hedw.,Bryophyta,Andreaeales,Andreaeaceae,Andreaea,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"",Accepted,6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Picea abies,(L.) H.Karst.,Tracheophyta,Pinales,Pinaceae,Picea,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Pinus sylvestris,L.,Tracheophyta,Pinales,Pinaceae,Pinus,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Pinus sylvestris f. nana,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Riccia sorocarpa,Bisch.,Marchantiophyta,Marchantiales,Ricciaceae,Riccia,species,NE,10.4235,63.4454,1414,1889,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Diplophyllum albicans,(L.) Dumort.,Marchantiophyta,Jungermanniales,Scapaniaceae,Diplophyllum,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Aneura pinguis,(L.) Dumort.,Marchantiophyta,Metzgeriales,Aneuraceae,Aneura,species,NE,10.4235,63.4454,1414,1897,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Phalaris arundinacea,L.,Tracheophyta,Poales,Poaceae,Phalaris,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Alopecurus pratensis,L.,Tracheophyta,Poales,Poaceae,Alopecurus,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Alopecurus geniculatus,L.,Tracheophyta,Poales,Poaceae,Alopecurus,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Elymus caninus,L.,Tracheophyta,Poales,Poaceae,Elymus,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
